drugbank_id	inchikey	inchikey14
DB00874	HSRJKNPTNIJEKV-UHFFFAOYSA-N	HSRJKNPTNIJEKV
DB00875	NJMYODHXAKYRHW-DVZOWYKESA-N	NJMYODHXAKYRHW
DB00876	OROAFUQRIXKEMV-LDADJPATSA-N	OROAFUQRIXKEMV
DB00877	QFJCIRLUMZQUOT-HPLJOQBZSA-N	QFJCIRLUMZQUOT
DB00878	GHXZTYHSJHQHIJ-UHFFFAOYSA-N	GHXZTYHSJHQHIJ
DB00879	XQSPYNMVSIKCOC-NTSWFWBYSA-N	XQSPYNMVSIKCOC
DB00880	JBMKAUGHUNFTOL-UHFFFAOYSA-N	JBMKAUGHUNFTOL
DB00881	JSDRRTOADPPCHY-HSQYWUDLSA-N	JSDRRTOADPPCHY
DB00882	GKIRPKYJQBWNGO-UHFFFAOYSA-N	GKIRPKYJQBWNGO
DB00883	MOYKHGMNXAOIAT-JGWLITMVSA-N	MOYKHGMNXAOIAT
DB00884	IIDJRNMFWXDHID-UHFFFAOYSA-N	IIDJRNMFWXDHID
DB00885	HIANJWSAHKJQTH-UHFFFAOYSA-N	HIANJWSAHKJQTH
DB00886	LVRLSYPNFFBYCZ-VGWMRTNUSA-N	LVRLSYPNFFBYCZ
DB00887	MAEIEVLCKWDQJH-UHFFFAOYSA-N	MAEIEVLCKWDQJH
DB00888	HAWPXGHAZFHHAD-UHFFFAOYSA-N	HAWPXGHAZFHHAD
DB00889	MFWNKCLOYSRHCJ-AGUYFDCRSA-N	MFWNKCLOYSRHCJ
DB00890	NFDFQCUYFHCNBW-SCGPFSFSSA-N	NFDFQCUYFHCNBW
DB00891	GECHUMIMRBOMGK-UHFFFAOYSA-N	GECHUMIMRBOMGK
DB00892	CMHHMUWAYWTMGS-UHFFFAOYSA-N	CMHHMUWAYWTMGS
DB00894	BPEWUONYVDABNZ-DZBHQSCQSA-N	BPEWUONYVDABNZ
DB00895	WJEDAXQWYZLHII-CWGCDAKASA-N	WJEDAXQWYZLHII
DB00896	QTTRZHGPGKRAFB-OOKHYKNYSA-N	QTTRZHGPGKRAFB
DB00897	JOFWLTCLBGQGBO-UHFFFAOYSA-N	JOFWLTCLBGQGBO
DB00898	LFQSCWFLJHTTHZ-UHFFFAOYSA-N	LFQSCWFLJHTTHZ
DB00899	ZTVQQQVZCWLTDF-UHFFFAOYSA-N	ZTVQQQVZCWLTDF
