gene_symbol	mechanism	basis	confidence	detail
ILF2	LoF	gnomad	medium	LoF-intolerant (pLI=0.9965, LOEUF=0.247)
ILF3	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.098)
ILKAP	LoF	gnomad	medium	LoF-intolerant (pLI=0.98116, LOEUF=0.301)
INCENP	LoF	gnomad	medium	LoF-intolerant (pLI=0.88595, LOEUF=0.336)
INF2	LoF	gnomad	medium	LoF-intolerant (pLI=0.97346, LOEUF=0.307)
ING3	LoF	gnomad	medium	LoF-intolerant (pLI=0.99933, LOEUF=0.211)
INHBA	LoF	gnomad	medium	LoF-intolerant (pLI=0.97979, LOEUF=0.251)
INHBB	LoF	gnomad	medium	LoF-intolerant (pLI=0.97287, LOEUF=0.269)
INO80	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.081)
INO80D	LoF	gnomad	medium	LoF-intolerant (pLI=0.99962, LOEUF=0.228)
INPP4A	LoF	gnomad	medium	LoF-intolerant (pLI=0.99952, LOEUF=0.249)
INPP5A	LoF	gnomad	medium	LoF-intolerant (pLI=0.98121, LOEUF=0.308)
INPP5D	LoF	gnomad	medium	LoF-intolerant (pLI=0.97198, LOEUF=0.306)
INTS10	LoF	gnomad	medium	LoF-intolerant (pLI=0.99999, LOEUF=0.156)
INTS2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99698, LOEUF=0.277)
INTS3	LoF	gnomad	medium	LoF-intolerant (pLI=0.99972, LOEUF=0.251)
INTS6	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.136)
INTS8	LoF	gnomad	medium	LoF-intolerant (pLI=0.9439, LOEUF=0.314)
IP6K1	LoF	gnomad	medium	LoF-intolerant (pLI=0.92674, LOEUF=0.367)
IP6K2	LoF	gnomad	medium	LoF-intolerant (pLI=0.973, LOEUF=0.316)
IPMK	LoF	gnomad	medium	LoF-intolerant (pLI=0.96258, LOEUF=0.33)
IPO13	LoF	gnomad	medium	LoF-intolerant (pLI=0.99998, LOEUF=0.198)
IPO5	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.122)
IPO7	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.106)
IPO9	LoF	gnomad	medium	LoF-intolerant (pLI=0.9999, LOEUF=0.23)
IQGAP1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99754, LOEUF=0.275)
IQSEC1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99969, LOEUF=0.224)
IQSEC2	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
IRAK1	LoF	gnomad	medium	LoF-intolerant (pLI=0.98774, LOEUF=0.285)
IREB2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99991, LOEUF=0.223)
IRF1	LoF	gnomad	medium	LoF-intolerant (pLI=0.9909, LOEUF=0.256)
IRF2BP1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99024, LOEUF=0.259)
IRF6	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
IRF8	LoF	gnomad	medium	LoF-intolerant (pLI=0.94807, LOEUF=0.344)
IRS2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99032, LOEUF=0.286)
IRX5	LoF	gnomad	medium	LoF-intolerant (pLI=0.9747, LOEUF=0.302)
ISY1	LoF	gnomad	medium	LoF-intolerant (pLI=0.9999, LOEUF=0.114)
ISY1-RAB43	LoF	gnomad	medium	LoF-intolerant (pLI=0.9997, LOEUF=0.172)
ITCH	LoF	gnomad	medium	LoF-intolerant (pLI=0.99997, LOEUF=0.218)
ITGA5	LoF	gnomad	medium	LoF-intolerant (pLI=0.42455, LOEUF=0.345)
ITGB1	LoF	gnomad	medium	LoF-intolerant (pLI=0.98208, LOEUF=0.306)
ITGB8	LoF	gnomad	medium	LoF-intolerant (pLI=0.99767, LOEUF=0.264)
ITPK1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99389, LOEUF=0.242)
ITPKB	LoF	gnomad	medium	LoF-intolerant (pLI=0.99994, LOEUF=0.148)
ITPR1	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.134)
ITSN1	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.221)
IVNS1ABP	LoF	gnomad	medium	LoF-intolerant (pLI=0.99442, LOEUF=0.281)
IWS1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99727, LOEUF=0.267)
JADE1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99885, LOEUF=0.246)
JADE2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99994, LOEUF=0.174)
JADE3	LoF	gnomad	medium	LoF-intolerant (pLI=0.99978, LOEUF=0.124)
JAG1	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
JAG2	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.143)
JAK1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99998, LOEUF=0.214)
JAK2	LoF	gnomad	medium	LoF-intolerant (pLI=0.65372, LOEUF=0.341)
JAKMIP1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99986, LOEUF=0.229)
JAKMIP2	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.176)
JARID2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99999, LOEUF=0.188)
JMJD1C	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.072)
JMJD6	LoF	gnomad	medium	LoF-intolerant (pLI=0.93353, LOEUF=0.355)
JMY	LoF	gnomad	medium	LoF-intolerant (pLI=0.96031, LOEUF=0.318)
