gene_symbol	mechanism	basis	confidence	detail
AAGAB	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
AAK1	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.129)
ABCA2	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.169)
ABCB4	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
ABCB7	LoF	gnomad	medium	LoF-intolerant (pLI=0.99994, LOEUF=0.109)
ABCD1	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
ABCE1	LoF	gnomad	medium	LoF-intolerant (pLI=0.9738, LOEUF=0.314)
ABHD17C	LoF	gnomad	medium	LoF-intolerant (pLI=0.95762, LOEUF=0.302)
ABHD8	LoF	gnomad	medium	LoF-intolerant (pLI=0.97027, LOEUF=0.31)
ABL1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99998, LOEUF=0.176)
ABLIM1	LoF	gnomad	medium	LoF-intolerant (pLI=0.9301, LOEUF=0.326)
AC005358.1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99303, LOEUF=0.277)
AC006486.9	LoF	gnomad	medium	LoF-intolerant (pLI=0.93701, LOEUF=0.341)
ACACA	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.216)
ACAN	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.183)
ACAP2	LoF	gnomad	medium	LoF-intolerant (pLI=0.92325, LOEUF=0.324)
ACE2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99769, LOEUF=0.25)
ACHE	LoF	gnomad	medium	LoF-intolerant (pLI=0.99827, LOEUF=0.207)
ACIN1	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.201)
ACRC	LoF	gnomad	medium	LoF-intolerant (pLI=0.98788, LOEUF=0.268)
ACSL4	LoF	gnomad	medium	LoF-intolerant (pLI=0.98103, LOEUF=0.306)
ACTA2	LoF	gnomad	medium	LoF-intolerant (pLI=0.93017, LOEUF=0.364)
ACTB	LoF	gnomad	medium	LoF-intolerant (pLI=0.98564, LOEUF=0.232)
ACTL6A	LoF	gnomad	medium	LoF-intolerant (pLI=0.99665, LOEUF=0.246)
ACTN1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99997, LOEUF=0.213)
ACTN2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99968, LOEUF=0.239)
ACTN4	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.099)
ACTR1A	LoF	gnomad	medium	LoF-intolerant (pLI=0.96621, LOEUF=0.327)
ACTR2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99896, LOEUF=0.195)
ACTR3	LoF	gnomad	medium	LoF-intolerant (pLI=0.99986, LOEUF=0.118)
ACTR3B	LoF	gnomad	medium	LoF-intolerant (pLI=0.99911, LOEUF=0.192)
ACVR1B	LoF	gnomad	medium	LoF-intolerant (pLI=0.99969, LOEUF=0.172)
ACVR2A	LoF	gnomad	medium	LoF-intolerant (pLI=0.99972, LOEUF=0.17)
ACVRL1	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
ADAM10	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.117)
ADAM17	LoF	gnomad	medium	LoF-intolerant (pLI=0.99528, LOEUF=0.28)
ADAM23	LoF	gnomad	medium	LoF-intolerant (pLI=0.99709, LOEUF=0.275)
ADAMTS10	LoF	gnomad	medium	LoF-intolerant (pLI=0.84288, LOEUF=0.33)
ADAMTS2	LoF	gnomad	medium	LoF-intolerant (pLI=0.9661, LOEUF=0.311)
ADAMTS6	LoF	gnomad	medium	LoF-intolerant (pLI=0.99998, LOEUF=0.22)
ADCY1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99747, LOEUF=0.272)
ADCY2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99898, LOEUF=0.261)
ADCY5	LoF	gnomad	medium	LoF-intolerant (pLI=0.99928, LOEUF=0.254)
ADCY9	LoF	gnomad	medium	LoF-intolerant (pLI=0.97943, LOEUF=0.306)
ADD1	LoF	gnomad	medium	LoF-intolerant (pLI=0.9883, LOEUF=0.296)
ADD2	LoF	gnomad	medium	LoF-intolerant (pLI=0.9961, LOEUF=0.274)
ADD3	LoF	gnomad	medium	LoF-intolerant (pLI=0.9988, LOEUF=0.246)
ADNP	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
ADRBK1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99998, LOEUF=0.178)
ADRM1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99704, LOEUF=0.175)
AEBP2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99921, LOEUF=0.145)
AES	LoF	gnomad	medium	LoF-intolerant (pLI=0.93594, LOEUF=0.361)
AF196779.12	LoF	gnomad	medium	LoF-intolerant (pLI=0.96638, LOEUF=0.284)
AFF1	LoF	gnomad	medium	LoF-intolerant (pLI=0.71038, LOEUF=0.347)
AFF2	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
AFF3	LoF	gnomad	medium	LoF-intolerant (pLI=0.99996, LOEUF=0.221)
AFF4	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.138)
AFTPH	LoF	gnomad	medium	LoF-intolerant (pLI=0.99997, LOEUF=0.141)
AGAP1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99984, LOEUF=0.231)
AGAP2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99816, LOEUF=0.267)
AGAP3	LoF	gnomad	medium	LoF-intolerant (pLI=0.91091, LOEUF=0.335)
AGFG1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99276, LOEUF=0.278)
AGO1	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.057)
AGO2	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.106)
AGO3	LoF	gnomad	medium	LoF-intolerant (pLI=0.99997, LOEUF=0.193)
AGO4	LoF	gnomad	medium	LoF-intolerant (pLI=0.9999, LOEUF=0.218)
AGPAT1	LoF	gnomad	medium	LoF-intolerant (pLI=0.97215, LOEUF=0.307)
AGPAT3	LoF	gnomad	medium	LoF-intolerant (pLI=0.99933, LOEUF=0.142)
AGPS	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.117)
AHCTF1	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.129)
AHCYL1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99429, LOEUF=0.281)
AHCYL2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99127, LOEUF=0.29)
AHDC1	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
AHNAK	LoF	gnomad	medium	LoF-intolerant (pLI=0.89827, LOEUF=0.308)
AHR	LoF	gnomad	medium	LoF-intolerant (pLI=0.99999, LOEUF=0.154)
AHSA1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99896, LOEUF=0.15)
AIFM1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99795, LOEUF=0.234)
AJAP1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99469, LOEUF=0.192)
AKAP11	LoF	gnomad	medium	LoF-intolerant (pLI=0.97878, LOEUF=0.3)
AKAP13	LoF	gnomad	medium	LoF-intolerant (pLI=0.92909, LOEUF=0.294)
AKAP4	LoF	gnomad	medium	LoF-intolerant (pLI=0.99323, LOEUF=0.246)
AKAP6	LoF	gnomad	medium	LoF-intolerant (pLI=0.99983, LOEUF=0.253)
AKIRIN2	LoF	gnomad	medium	LoF-intolerant (pLI=0.92355, LOEUF=0.376)
AKT1	LoF	gnomad	medium	LoF-intolerant (pLI=0.9759, LOEUF=0.315)
AKT3	LoF	gnomad	medium	LoF-intolerant (pLI=0.99958, LOEUF=0.178)
ALAS2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99586, LOEUF=0.184)
ALDH1A1	LoF	gnomad	medium	LoF-intolerant (pLI=0.95448, LOEUF=0.335)
ALG13	LoF	gnomad	medium	LoF-intolerant (pLI=0.99998, LOEUF=0.16)
ALKBH5	LoF	gnomad	medium	LoF-intolerant (pLI=0.94974, LOEUF=0.343)
ALX4	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
ALYREF	LoF	gnomad	medium	LoF-intolerant (pLI=0.92567, LOEUF=0.36)
AMBRA1	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.14)
AMD1	LoF	gnomad	medium	LoF-intolerant (pLI=0.98227, LOEUF=0.284)
AMIGO1	LoF	gnomad	medium	LoF-intolerant (pLI=0.98411, LOEUF=0.238)
AMMECR1L	LoF	gnomad	medium	LoF-intolerant (pLI=0.9913, LOEUF=0.255)
AMOT	LoF	gnomad	medium	LoF-intolerant (pLI=0.99666, LOEUF=0.266)
ANAPC1	LoF	gnomad	medium	LoF-intolerant (pLI=0.94532, LOEUF=0.305)
ANAPC2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99993, LOEUF=0.175)
ANGPT1	LoF	gnomad	medium	LoF-intolerant (pLI=0.95208, LOEUF=0.337)
ANK1	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.169)
ANK2	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
ANK3	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.089)
ANKFY1	LoF	gnomad	medium	LoF-intolerant (pLI=0.95629, LOEUF=0.312)
ANKHD1	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.112)
ANKHD1-EIF4EBP3	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.112)
ANKIB1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99996, LOEUF=0.207)
ANKRD11	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
ANKRD12	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.197)
ANKRD13C	LoF	gnomad	medium	LoF-intolerant (pLI=0.99793, LOEUF=0.248)
ANKRD17	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
ANKRD28	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.171)
ANKRD34A	LoF	gnomad	medium	LoF-intolerant (pLI=0.98103, LOEUF=0.247)
ANKRD50	LoF	gnomad	medium	LoF-intolerant (pLI=0.9792, LOEUF=0.305)
ANKRD52	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.09)
ANKS1A	LoF	gnomad	medium	LoF-intolerant (pLI=0.80916, LOEUF=0.338)
ANKS1B	LoF	gnomad	medium	LoF-intolerant (pLI=0.99998, LOEUF=0.215)
ANO1	LoF	gnomad	medium	LoF-intolerant (pLI=0.87426, LOEUF=0.33)
ANO8	LoF	gnomad	medium	LoF-intolerant (pLI=0.95634, LOEUF=0.317)
ANOS1	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
ANP32A	LoF	gnomad	medium	LoF-intolerant (pLI=0.98961, LOEUF=0.218)
ANP32B	LoF	gnomad	medium	LoF-intolerant (pLI=0.95827, LOEUF=0.331)
ANTXR1	LoF	gnomad	medium	LoF-intolerant (pLI=0.98631, LOEUF=0.3)
AP1B1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99828, LOEUF=0.263)
AP1G1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99998, LOEUF=0.202)
AP1S2	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
AP2A1	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.101)
AP2A2	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.108)
AP2B1	LoF	gnomad	medium	LoF-intolerant (pLI=0.9983, LOEUF=0.263)
AP2M1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99919, LOEUF=0.19)
AP3B1	LoF	gnomad	medium	LoF-intolerant (pLI=0.61532, LOEUF=0.344)
AP3B2	LoF	gnomad	medium	LoF-intolerant (pLI=0.77198, LOEUF=0.342)
AP3D1	LoF	gnomad	medium	LoF-intolerant (pLI=0.98648, LOEUF=0.296)
APBB1	LoF	gnomad	medium	LoF-intolerant (pLI=0.96811, LOEUF=0.321)
APC	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
APC2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99994, LOEUF=0.225)
APEX2	LoF	gnomad	medium	LoF-intolerant (pLI=0.97302, LOEUF=0.268)
API5	LoF	gnomad	medium	LoF-intolerant (pLI=0.99996, LOEUF=0.144)
APOB	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
APPBP2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99567, LOEUF=0.271)
AQR	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.219)
AR	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
ARAF	LoF	gnomad	medium	LoF-intolerant (pLI=0.96322, LOEUF=0.33)
ARCN1	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
ARF4	LoF	gnomad	medium	LoF-intolerant (pLI=0.95992, LOEUF=0.298)
ARF5	LoF	gnomad	medium	LoF-intolerant (pLI=0.94298, LOEUF=0.33)
ARFGEF1	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.143)
ARFGEF2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99993, LOEUF=0.249)
ARHGAP21	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.203)
ARHGAP23	LoF	gnomad	medium	LoF-intolerant (pLI=0.99988, LOEUF=0.22)
ARHGAP25	LoF	gnomad	medium	LoF-intolerant (pLI=0.94635, LOEUF=0.336)
ARHGAP26	LoF	gnomad	medium	LoF-intolerant (pLI=0.99661, LOEUF=0.276)
ARHGAP29	LoF	gnomad	medium	LoF-intolerant (pLI=0.99964, LOEUF=0.249)
ARHGAP30	LoF	gnomad	medium	LoF-intolerant (pLI=0.9999, LOEUF=0.209)
ARHGAP31	LoF	gnomad	medium	LoF-intolerant (pLI=0.99999, LOEUF=0.192)
ARHGAP32	LoF	gnomad	medium	LoF-intolerant (pLI=0.99978, LOEUF=0.254)
ARHGAP35	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.057)
ARHGAP4	LoF	gnomad	medium	LoF-intolerant (pLI=0.97693, LOEUF=0.313)
ARHGAP42	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.155)
ARHGAP44	LoF	gnomad	medium	LoF-intolerant (pLI=0.99988, LOEUF=0.22)
ARHGAP5	LoF	gnomad	medium	LoF-intolerant (pLI=0.99862, LOEUF=0.263)
ARHGAP6	LoF	gnomad	medium	LoF-intolerant (pLI=0.99845, LOEUF=0.228)
ARHGDIG	LoF	gnomad	medium	LoF-intolerant (pLI=0.92154, LOEUF=0.367)
ARHGEF1	LoF	gnomad	medium	LoF-intolerant (pLI=0.76754, LOEUF=0.342)
ARHGEF11	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.215)
ARHGEF12	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.179)
ARHGEF17	LoF	gnomad	medium	LoF-intolerant (pLI=0.98445, LOEUF=0.293)
ARHGEF2	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.156)
ARHGEF6	LoF	gnomad	medium	LoF-intolerant (pLI=0.99998, LOEUF=0.136)
ARHGEF7	LoF	gnomad	medium	LoF-intolerant (pLI=0.99995, LOEUF=0.187)
ARHGEF9	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
ARID1A	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
ARID1B	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
ARID2	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
ARID3A	LoF	gnomad	medium	LoF-intolerant (pLI=0.99065, LOEUF=0.276)
ARID4A	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.139)
ARID4B	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.187)
ARID5A	LoF	gnomad	medium	LoF-intolerant (pLI=0.94518, LOEUF=0.35)
ARID5B	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.11)
ARIH1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99997, LOEUF=0.166)
ARIH2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99374, LOEUF=0.283)
ARL8A	LoF	gnomad	medium	LoF-intolerant (pLI=0.94173, LOEUF=0.354)
ARMC8	LoF	gnomad	medium	LoF-intolerant (pLI=0.99999, LOEUF=0.172)
ARMCX4	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.122)
ARNT	LoF	gnomad	medium	LoF-intolerant (pLI=0.99581, LOEUF=0.279)
ARNT2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99142, LOEUF=0.291)
ARNTL	LoF	gnomad	medium	LoF-intolerant (pLI=0.99444, LOEUF=0.277)
ARPC2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99769, LOEUF=0.168)
ARPC4	LoF	gnomad	medium	LoF-intolerant (pLI=0.97453, LOEUF=0.265)
ARRB1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99394, LOEUF=0.262)
ARRDC3	LoF	gnomad	medium	LoF-intolerant (pLI=0.98715, LOEUF=0.286)
ARX	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
ASAP1	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.188)
ASAP2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99996, LOEUF=0.22)
ASB7	LoF	gnomad	medium	LoF-intolerant (pLI=0.98395, LOEUF=0.28)
ASH1L	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
ASH2L	LoF	gnomad	medium	LoF-intolerant (pLI=0.99968, LOEUF=0.213)
ASIC1	LoF	gnomad	medium	LoF-intolerant (pLI=0.93017, LOEUF=0.344)
ASIC2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99912, LOEUF=0.192)
ASNA1	LoF	gnomad	medium	LoF-intolerant (pLI=0.94316, LOEUF=0.352)
ASTN1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99998, LOEUF=0.212)
ASTN2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99971, LOEUF=0.246)
ASUN	LoF	gnomad	medium	LoF-intolerant (pLI=0.86229, LOEUF=0.346)
ASXL1	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
ASXL2	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.146)
ASXL3	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
ATAD2	LoF	gnomad	medium	LoF-intolerant (pLI=0.9982, LOEUF=0.273)
ATAD2B	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.155)
ATAD5	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.208)
ATF2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99131, LOEUF=0.283)
ATF7	LoF	gnomad	medium	LoF-intolerant (pLI=0.9984, LOEUF=0.205)
ATF7IP	LoF	gnomad	medium	LoF-intolerant (pLI=0.99993, LOEUF=0.213)
ATG13	LoF	gnomad	medium	LoF-intolerant (pLI=0.96359, LOEUF=0.328)
ATG16L1	LoF	gnomad	medium	LoF-intolerant (pLI=0.96452, LOEUF=0.319)
ATG2A	LoF	gnomad	medium	LoF-intolerant (pLI=0.053526, LOEUF=0.346)
ATG4A	LoF	gnomad	medium	LoF-intolerant (pLI=0.98953, LOEUF=0.262)
ATG4B	LoF	gnomad	medium	LoF-intolerant (pLI=0.95648, LOEUF=0.337)
ATG5	LoF	gnomad	medium	LoF-intolerant (pLI=0.97758, LOEUF=0.295)
ATG9A	LoF	gnomad	medium	LoF-intolerant (pLI=0.97081, LOEUF=0.317)
ATL1	LoF	gnomad	medium	LoF-intolerant (pLI=0.98109, LOEUF=0.308)
ATM	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
ATN1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99992, LOEUF=0.194)
ATOH8	LoF	gnomad	medium	LoF-intolerant (pLI=0.91391, LOEUF=0.379)
ATP11C	LoF	gnomad	medium	LoF-intolerant (pLI=0.9997, LOEUF=0.232)
ATP13A1	LoF	gnomad	medium	LoF-intolerant (pLI=0.98939, LOEUF=0.294)
ATP13A3	LoF	gnomad	medium	LoF-intolerant (pLI=0.99998, LOEUF=0.22)
ATP1A1	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.121)
ATP1A3	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.062)
ATP1B1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99881, LOEUF=0.153)
ATP2A2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99945, LOEUF=0.246)
ATP2B1	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.084)
ATP2B2	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.148)
ATP2B3	LoF	gnomad	medium	LoF-intolerant (pLI=0.99945, LOEUF=0.222)
ATP2C1	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.182)
ATP5A1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99945, LOEUF=0.182)
ATP5B	LoF	gnomad	medium	LoF-intolerant (pLI=0.97679, LOEUF=0.309)
ATP6AP1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99079, LOEUF=0.213)
ATP6V0A1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99797, LOEUF=0.268)
ATP6V0B	LoF	gnomad	medium	LoF-intolerant (pLI=0.96895, LOEUF=0.278)
ATP6V0D1	LoF	gnomad	medium	LoF-intolerant (pLI=0.98763, LOEUF=0.268)
ATP6V1B2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99154, LOEUF=0.287)
ATP7A	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
ATP8A1	LoF	gnomad	medium	LoF-intolerant (pLI=0.1999, LOEUF=0.346)
ATP9A	LoF	gnomad	medium	LoF-intolerant (pLI=0.99999, LOEUF=0.205)
ATRN	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.195)
ATRNL1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99915, LOEUF=0.266)
ATRX	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
ATXN1	LoF	gnomad	medium	LoF-intolerant (pLI=0.97498, LOEUF=0.316)
ATXN1L	LoF	gnomad	medium	LoF-intolerant (pLI=0.97897, LOEUF=0.305)
ATXN2	LoF	gnomad	medium	LoF-intolerant (pLI=0.85289, LOEUF=0.333)
ATXN2L	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.143)
ATXN7	LoF	gnomad	medium	LoF-intolerant (pLI=0.9595, LOEUF=0.328)
ATXN7L1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99884, LOEUF=0.221)
ATXN7L3	LoF	gnomad	medium	LoF-intolerant (pLI=0.99892, LOEUF=0.196)
AUTS2	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
AVPR2	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
AXIN2	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
AZIN1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99485, LOEUF=0.237)
B4GALT5	LoF	gnomad	medium	LoF-intolerant (pLI=0.99889, LOEUF=0.151)
B4GALT6	LoF	gnomad	medium	LoF-intolerant (pLI=0.90783, LOEUF=0.371)
BABAM1	LoF	gnomad	medium	LoF-intolerant (pLI=0.96269, LOEUF=0.324)
BACH2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99803, LOEUF=0.233)
BAG3	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
BAG6	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.174)
BAHD1	LoF	gnomad	medium	LoF-intolerant (pLI=0.98547, LOEUF=0.3)
BAI1	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.14)
BAI2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99982, LOEUF=0.249)
BAI3	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.138)
BANP	LoF	gnomad	medium	LoF-intolerant (pLI=0.99388, LOEUF=0.273)
BAP1	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
BARD1	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
BAZ1A	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.176)
BAZ1B	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.109)
BAZ2A	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.146)
BAZ2B	LoF	gnomad	medium	LoF-intolerant (pLI=0.98162, LOEUF=0.288)
BCAP31	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
BCAR1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99808, LOEUF=0.246)
BCL11A	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
BCL11B	LoF	gnomad	medium	LoF-intolerant (pLI=0.98881, LOEUF=0.282)
BCL2L1	LoF	gnomad	medium	LoF-intolerant (pLI=0.93667, LOEUF=0.341)
BCL3	LoF	gnomad	medium	LoF-intolerant (pLI=0.98871, LOEUF=0.221)
BCL6	LoF	gnomad	medium	LoF-intolerant (pLI=0.96038, LOEUF=0.33)
BCL9L	LoF	gnomad	medium	LoF-intolerant (pLI=0.99939, LOEUF=0.242)
BCOR	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
BCORL1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99999, LOEUF=0.152)
BCR	LoF	gnomad	medium	LoF-intolerant (pLI=0.98761, LOEUF=0.296)
BECN1	LoF	gnomad	medium	LoF-intolerant (pLI=0.93717, LOEUF=0.347)
BEGAIN	LoF	gnomad	medium	LoF-intolerant (pLI=0.97002, LOEUF=0.32)
BEND3	LoF	gnomad	medium	LoF-intolerant (pLI=0.93555, LOEUF=0.347)
BEND4	LoF	gnomad	medium	LoF-intolerant (pLI=0.98484, LOEUF=0.292)
BHLHE40	LoF	gnomad	medium	LoF-intolerant (pLI=0.99444, LOEUF=0.194)
BHLHE41	LoF	gnomad	medium	LoF-intolerant (pLI=0.99212, LOEUF=0.206)
BICC1	LoF	gnomad	medium	LoF-intolerant (pLI=0.83685, LOEUF=0.339)
BICD2	LoF	gnomad	medium	LoF-intolerant (pLI=0.98272, LOEUF=0.305)
BIRC6	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.104)
BMI1	LoF	gnomad	medium	LoF-intolerant (pLI=0.94286, LOEUF=0.352)
BMP10	LoF	gnomad	medium	LoF-intolerant (pLI=0.90838, LOEUF=0.392)
BMP2	LoF	gnomad	medium	LoF-intolerant (pLI=0.98799, LOEUF=0.224)
BMP4	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
BMPR1A	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
BMPR1B	LoF	gnomad	medium	LoF-intolerant (pLI=0.99863, LOEUF=0.225)
BMPR2	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
BNC1	LoF	gnomad	medium	LoF-intolerant (pLI=0.96479, LOEUF=0.326)
BNC2	LoF	gnomad	medium	LoF-intolerant (pLI=0.92762, LOEUF=0.34)
BOD1L1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99985, LOEUF=0.254)
